,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
43,MKTX.OQ,2007-08-31T00:00:00Z,4.93678506810837,583709383.11,17.43
44,MKTX.OQ,2007-09-28T00:00:00Z,-13.743530766622,502331655.0,15.0
45,MKTX.OQ,2007-10-31T00:00:00Z,4.46666666695643,523592224.57,15.67
46,MKTX.OQ,2007-11-30T00:00:00Z,-4.90066225273486,479820315.56,14.36
47,MKTX.OQ,2007-12-31T00:00:00Z,-10.6545961002179,428697398.93,12.83
48,MKTX.OQ,2008-01-31T00:00:00Z,-26.3445050682681,315759190.95,9.45
49,MKTX.OQ,2008-02-29T00:00:00Z,-1.57563025303952,309555546.859999,9.37
50,MKTX.OQ,2008-03-31T00:00:00Z,6.08324439795911,328386567.32,9.94
51,MKTX.OQ,2008-04-30T00:00:00Z,-14.5772594763139,290394157.619999,8.79
52,MKTX.OQ,2008-05-30T00:00:00Z,-11.0352673492907,262539812.12,7.82
53,MKTX.OQ,2008-06-30T00:00:00Z,-3.32480818396036,253810866.959999,7.56
54,MKTX.OQ,2008-07-31T00:00:00Z,28.0423280419572,325265269.12,9.68
55,MKTX.OQ,2008-08-29T00:00:00Z,3.82231404937345,337697929.2,10.05
56,MKTX.OQ,2008-09-30T00:00:00Z,-19.7014925388047,271166396.88,8.07
57,MKTX.OQ,2008-10-31T00:00:00Z,-29.1201982647495,192515180.0,5.72
58,MKTX.OQ,2008-11-28T00:00:00Z,13.676731794062,215401600.0,6.4
59,MKTX.OQ,2008-12-31T00:00:00Z,27.4999999967525,274637040.0,8.16
60,MKTX.OQ,2009-01-30T00:00:00Z,-5.39215686339198,259828180.0,7.72
61,MKTX.OQ,2009-02-27T00:00:00Z,-12.5277161865455,270355994.28,7.89
62,MKTX.OQ,2009-03-31T00:00:00Z,-3.16856780496494,261789581.28,7.64
63,MKTX.OQ,2009-04-30T00:00:00Z,39.9999999991706,328877676.26,9.59
64,MKTX.OQ,2009-05-29T00:00:00Z,10.0104275270391,361799737.7,10.55
65,MKTX.OQ,2009-06-30T00:00:00Z,-9.66824644739156,326820047.419999,9.53
66,MKTX.OQ,2009-07-31T00:00:00Z,9.75865687292461,359113514.96,10.46
67,MKTX.OQ,2009-08-31T00:00:00Z,6.02294455136545,380742722.84,11.09
68,MKTX.OQ,2009-09-30T00:00:00Z,7.30186999164761,413014874.28,12.05
69,MKTX.OQ,2009-10-30T00:00:00Z,-1.4107883817927,408176877.24,11.88
70,MKTX.OQ,2009-11-30T00:00:00Z,5.38815345832848,427761121.349999,12.45
71,MKTX.OQ,2009-12-31T00:00:00Z,11.646586346793,477580689.7,13.9
72,MKTX.OQ,2010-01-29T00:00:00Z,-1.94244604359209,468303942.49,13.63
73,MKTX.OQ,2010-02-26T00:00:00Z,10.2801883093702,520075891.8,14.96
74,MKTX.OQ,2010-03-31T00:00:00Z,5.14705882361626,547576558.1,15.73
75,MKTX.OQ,2010-04-30T00:00:00Z,-1.19421747408239,552392190.8,15.72
76,MKTX.OQ,2010-05-28T00:00:00Z,-5.69350424889404,517013870.4,14.76
77,MKTX.OQ,2010-06-30T00:00:00Z,-6.57181571825396,483036671.599999,13.79
78,MKTX.OQ,2010-07-30T00:00:00Z,3.11820159474858,494298120.96,14.22
79,MKTX.OQ,2010-08-31T00:00:00Z,8.01527312755543,531492142.719999,15.29
80,MKTX.OQ,2010-09-30T00:00:00Z,13.8069705118922,590237840.64,16.98
81,MKTX.OQ,2010-10-29T00:00:00Z,7.00824499247401,608939295.65,18.17
82,MKTX.OQ,2010-11-30T00:00:00Z,0.489276366130542,609609564.55,18.19
83,MKTX.OQ,2010-12-31T00:00:00Z,14.4035184193745,697414790.449999,20.81
84,MKTX.OQ,2011-01-31T00:00:00Z,-3.26765977910314,674625647.85,20.13
85,MKTX.OQ,2011-02-28T00:00:00Z,5.54731261258927,806183688.33,21.39
86,MKTX.OQ,2011-03-31T00:00:00Z,13.1369798967862,911714979.93,24.2
87,MKTX.OQ,2011-04-29T00:00:00Z,3.04697418583209,923078281.65,24.35
88,MKTX.OQ,2011-05-31T00:00:00Z,-1.1992868642379,908293865.64,23.96
89,MKTX.OQ,2011-06-30T00:00:00Z,9.71978984372821,949993500.54,25.06
90,MKTX.OQ,2011-07-29T00:00:00Z,4.26975259428326,993054109.709999,26.13
91,MKTX.OQ,2011-08-31T00:00:00Z,13.2289539358736,1120368739.16,29.48
92,MKTX.OQ,2011-09-30T00:00:00Z,-13.2088058715807,988873629.34,26.02
93,MKTX.OQ,2011-10-31T00:00:00Z,12.3366641017083,1115538981.4,29.23
94,MKTX.OQ,2011-11-30T00:00:00Z,-2.72229406212656,1104471369.2,28.94
95,MKTX.OQ,2011-12-30T00:00:00Z,4.04284726858262,1149123459.8,30.11
96,MKTX.OQ,2012-01-31T00:00:00Z,3.12188641681865,1185444309.906,31.05
97,MKTX.OQ,2012-02-29T00:00:00Z,6.7209294390643,1264875950.87999,33.12
98,MKTX.OQ,2012-03-30T00:00:00Z,12.5905797087937,1424131165.71,37.29
99,MKTX.OQ,2012-04-30T00:00:00Z,-7.9914186111557,1340991459.46,34.31
100,MKTX.OQ,2012-05-31T00:00:00Z,-5.56827417258003,1262040636.13999,32.29
101,MKTX.OQ,2012-06-29T00:00:00Z,-17.5997525497188,1041212838.24,26.64
