,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
75,VRSK.OQ,2010-04-30T00:00:00Z,0.394123969878191,5057763745.74,28.02
76,VRSK.OQ,2010-05-28T00:00:00Z,7.95860099871128,5463496211.25,30.25
77,VRSK.OQ,2010-06-30T00:00:00Z,-1.1570247925365,5400282205.5,29.9
78,VRSK.OQ,2010-07-30T00:00:00Z,-0.70234113702361,5362353802.05,29.69
79,VRSK.OQ,2010-08-31T00:00:00Z,-6.29841697660746,4978931545.64,27.82
80,VRSK.OQ,2010-09-30T00:00:00Z,0.936936937592958,4829368798.8,28.01
81,VRSK.OQ,2010-10-29T00:00:00Z,6.42627632916026,5139717382.8,29.81
82,VRSK.OQ,2010-11-30T00:00:00Z,1.54310634161041,5214720267.69,30.27
83,VRSK.OQ,2010-12-31T00:00:00Z,12.5867195257675,5871082481.75999,34.08
84,VRSK.OQ,2011-01-31T00:00:00Z,-0.733568076060776,5828014095.00999,33.83
85,VRSK.OQ,2011-02-28T00:00:00Z,-4.28994082922688,5502859741.6,32.35
86,VRSK.OQ,2011-03-31T00:00:00Z,1.26738794568293,5504835805.55999,32.76
87,VRSK.OQ,2011-04-29T00:00:00Z,0.396704300449469,5505111959.9,32.9
88,VRSK.OQ,2011-05-31T00:00:00Z,3.49544073104811,5697539885.54999,34.05
89,VRSK.OQ,2011-06-30T00:00:00Z,2.06367924594075,5792917205.21999,34.62
90,VRSK.OQ,2011-07-29T00:00:00Z,-3.81282495630607,5488316356.5,33.3
91,VRSK.OQ,2011-08-31T00:00:00Z,4.6246246248937,5742130386.2,34.84
92,VRSK.OQ,2011-09-30T00:00:00Z,0.665894617668261,5730593384.85,34.77
93,VRSK.OQ,2011-10-31T00:00:00Z,1.09289617543009,5748434409.55,35.15
94,VRSK.OQ,2011-11-30T00:00:00Z,12.3569794063059,6423855010.16,39.28
95,VRSK.OQ,2011-12-30T00:00:00Z,2.16395112097292,6562864092.61,40.13
96,VRSK.OQ,2012-01-31T00:00:00Z,-0.149514078571211,6551416285.82,40.07
97,VRSK.OQ,2012-02-29T00:00:00Z,8.04769001749435,7168411066.5,43.5
98,VRSK.OQ,2012-03-30T00:00:00Z,7.97701149411654,7783177847.05999,46.97
99,VRSK.OQ,2012-04-30T00:00:00Z,4.21545667360965,8128931189.5,48.95
100,VRSK.OQ,2012-05-31T00:00:00Z,-2.14504596686259,7954561879.0,47.9
101,VRSK.OQ,2012-06-29T00:00:00Z,2.86072248817835,8180411652.59999,49.26
102,VRSK.OQ,2012-07-31T00:00:00Z,2.00974421449651,8333136239.25,50.25
103,VRSK.OQ,2012-08-31T00:00:00Z,-3.44278607052639,8046244185.64,48.52
104,VRSK.OQ,2012-09-28T00:00:00Z,-0.83315975871161,7895335648.76999,47.61
105,VRSK.OQ,2012-10-31T00:00:00Z,7.12035286834181,8526740546.87999,51.0
106,VRSK.OQ,2012-11-30T00:00:00Z,6.79237197302154,8313238436.16,49.84
107,VRSK.OQ,2012-12-31T00:00:00Z,2.32744783234238,8501720768.28,51.0
108,VRSK.OQ,2013-01-31T00:00:00Z,8.15686274392018,9200606583.84,55.16
109,VRSK.OQ,2013-02-28T00:00:00Z,6.45806803720819,9831242275.5,58.52
110,VRSK.OQ,2013-03-28T00:00:00Z,5.31442241974749,10375855847.76,61.63
111,VRSK.OQ,2013-04-30T00:00:00Z,-0.551679378100045,10320948059.58,61.29
112,VRSK.OQ,2013-05-31T00:00:00Z,-4.03002120967074,9905011663.64,58.82
113,VRSK.OQ,2013-06-28T00:00:00Z,0.87867522778966,10053199529.4,59.7
114,VRSK.OQ,2013-07-31T00:00:00Z,7.80569514328437,10807038040.2,64.36
115,VRSK.OQ,2013-08-30T00:00:00Z,-3.38719701741594,10440982370.1,62.18
116,VRSK.OQ,2013-09-30T00:00:00Z,4.47089096058342,10907787307.1999,64.96
117,VRSK.OQ,2013-10-31T00:00:00Z,5.48029556513827,11505566291.4,68.52
118,VRSK.OQ,2013-11-29T00:00:00Z,-4.46074834867739,10953580115.87,65.11
119,VRSK.OQ,2013-12-31T00:00:00Z,0.936876054652669,11056201585.24,65.72
120,VRSK.OQ,2014-01-31T00:00:00Z,-2.83018867734666,10743290219.62,63.86
121,VRSK.OQ,2014-02-28T00:00:00Z,-0.227059189438972,10629928597.41,63.715
122,VRSK.OQ,2014-03-31T00:00:00Z,-5.89343168944972,9992977071.0,59.96
123,VRSK.OQ,2014-04-30T00:00:00Z,0.367462836392307,9998501889.9,60.09
124,VRSK.OQ,2014-05-30T00:00:00Z,-1.49775336893704,9848748990.9,59.19
125,VRSK.OQ,2014-06-30T00:00:00Z,1.40226389750584,9986854442.2,60.02
126,VRSK.OQ,2014-07-31T00:00:00Z,0.033322225055143,9995167045.36,60.04
127,VRSK.OQ,2014-08-29T00:00:00Z,6.91205862829549,10686038851.46,64.19
128,VRSK.OQ,2014-09-30T00:00:00Z,-5.14098769474712,10136670909.26,60.89
129,VRSK.OQ,2014-10-31T00:00:00Z,2.39776646348535,10282778273.35,62.35
130,VRSK.OQ,2014-11-28T00:00:00Z,0.193986420125825,10221757776.7799,61.98
131,VRSK.OQ,2014-12-31T00:00:00Z,3.33978702765092,10563142717.05,64.05
132,VRSK.OQ,2015-01-30T00:00:00Z,0.46838407367924,10612618795.3499,64.35
133,VRSK.OQ,2015-02-27T00:00:00Z,12.1855959992491,11353768153.55,71.81
134,VRSK.OQ,2015-03-31T00:00:00Z,-0.570951119769214,11293208980.2,71.4
135,VRSK.OQ,2015-04-30T00:00:00Z,5.45250140605753,11891280760.8,75.04
136,VRSK.OQ,2015-05-29T00:00:00Z,-3.27825159800025,12271195462.06,72.58
137,VRSK.OQ,2015-06-30T00:00:00Z,0.248002204872622,12301628297.32,72.76
138,VRSK.OQ,2015-07-31T00:00:00Z,7.35294117443865,13160499261.4,78.11
139,VRSK.OQ,2015-08-31T00:00:00Z,-6.43963641227165,12313010959.1999,73.08
140,VRSK.OQ,2015-09-30T00:00:00Z,-0.040573437364322,12452854953.4,73.91
141,VRSK.OQ,2015-10-30T00:00:00Z,-3.11189284272911,12132764286.72,71.61
142,VRSK.OQ,2015-11-30T00:00:00Z,4.66415305007144,12698654982.4,74.95
143,VRSK.OQ,2015-12-31T00:00:00Z,2.57505003219631,13025392539.2799,76.88
144,VRSK.OQ,2016-01-29T00:00:00Z,-5.04682622203431,12368023613.0,73.0
145,VRSK.OQ,2016-02-29T00:00:00Z,-0.219178082868665,12239630284.92,72.84
146,VRSK.OQ,2016-03-31T00:00:00Z,9.71993410291294,13413511621.44,79.92
147,VRSK.OQ,2016-04-29T00:00:00Z,-1.46068842848392,13046347062.18,77.58
148,VRSK.OQ,2016-05-31T00:00:00Z,2.33307553542497,13350728193.69,79.39
149,VRSK.OQ,2016-06-30T00:00:00Z,2.29624022110828,13634929360.68,81.08
150,VRSK.OQ,2016-07-29T00:00:00Z,5.1800690675003,14409780276.32,85.28
151,VRSK.OQ,2016-08-31T00:00:00Z,-2.61491556898021,14032976687.9499,83.05
152,VRSK.OQ,2016-09-30T00:00:00Z,-2.0722891564565,13733899400.32,81.28
153,VRSK.OQ,2016-10-31T00:00:00Z,0.332185038808053,13655626195.75,81.55
154,VRSK.OQ,2016-11-30T00:00:00Z,2.12661339939606,13911826172.1999,83.08
155,VRSK.OQ,2016-12-30T00:00:00Z,-2.29898892873469,13591994829.05,81.17
156,VRSK.OQ,2017-01-31T00:00:00Z,1.8110139219379,13838147747.6,82.64
157,VRSK.OQ,2017-02-28T00:00:00Z,0.290275761748227,13793021922.72,82.92
158,VRSK.OQ,2017-03-31T00:00:00Z,-2.14664737032949,13460452456.86,81.14
159,VRSK.OQ,2017-04-28T00:00:00Z,2.50030944465709,13691801425.12,82.81
160,VRSK.OQ,2017-05-31T00:00:00Z,-2.31856056093859,13374348717.28,80.89
161,VRSK.OQ,2017-06-30T00:00:00Z,4.09623689088774,13949731750.24,84.37
162,VRSK.OQ,2017-07-31T00:00:00Z,3.42538816833948,14359140678.68,87.26
163,VRSK.OQ,2017-08-31T00:00:00Z,-7.11666284551149,13337249048.9,81.05
164,VRSK.OQ,2017-09-29T00:00:00Z,3.77994011973022,13689398499.42,83.19
165,VRSK.OQ,2017-10-31T00:00:00Z,2.23584565522881,14007047115.6,85.05
166,VRSK.OQ,2017-11-30T00:00:00Z,13.8370720181007,15879594155.04,96.42
167,VRSK.OQ,2017-12-29T00:00:00Z,-0.4355942747585,15810423552.0,96.0
168,VRSK.OQ,2018-01-31T00:00:00Z,4.21874999972172,16477425795.6,100.05
169,VRSK.OQ,2018-02-28T00:00:00Z,3.94669921455837,16863452252.68,102.19
170,VRSK.OQ,2018-03-29T00:00:00Z,1.77121049057698,17174239160.0,104.0
171,VRSK.OQ,2018-04-30T00:00:00Z,2.35576923314365,17591841627.1,106.45
172,VRSK.OQ,2018-05-31T00:00:00Z,-0.197275716884693,17557137195.52,106.24
173,VRSK.OQ,2018-06-29T00:00:00Z,0.522973478313316,17788500072.72,107.64
174,VRSK.OQ,2018-07-31T00:00:00Z,2.76848755253774,18220044424.82,110.62
175,VRSK.OQ,2018-08-31T00:00:00Z,7.65684324734537,19615124665.99,119.09
176,VRSK.OQ,2018-09-28T00:00:00Z,1.39624863306274,19855598946.05,120.55
177,VRSK.OQ,2018-10-31T00:00:00Z,-0.588967233288384,19728077697.44,119.84
178,VRSK.OQ,2018-11-30T00:00:00Z,5.48285005600593,20300955788.12,123.32
179,VRSK.OQ,2018-12-31T00:00:00Z,-11.5796302308387,17950180174.64,109.04
180,VRSK.OQ,2019-01-31T00:00:00Z,7.67608217287064,19328050754.8099,117.41
181,VRSK.OQ,2019-02-28T00:00:00Z,8.77570334673428,20672509877.9,126.43
182,VRSK.OQ,2019-03-29T00:00:00Z,5.40180500392706,21747066208.0,133.0
183,VRSK.OQ,2019-04-30T00:00:00Z,6.12030075439409,23099770123.28,141.14
184,VRSK.OQ,2019-05-31T00:00:00Z,-0.807708657987993,22913191280.0,140.0
185,VRSK.OQ,2019-06-28T00:00:00Z,4.40643788431581,23970471391.92,146.46
186,VRSK.OQ,2019-07-31T00:00:00Z,3.59142428173982,24807139574.92,151.72
187,VRSK.OQ,2019-08-30T00:00:00Z,6.47244924802657,26412769093.94,161.54
188,VRSK.OQ,2019-09-30T00:00:00Z,-1.94928346814242,25856848486.5399,158.14
189,VRSK.OQ,2019-10-31T00:00:00Z,-8.498798530869,23711964545.6999,144.7
190,VRSK.OQ,2019-11-29T00:00:00Z,-0.297458086287095,24167522675.8799,147.48
191,VRSK.OQ,2019-12-31T00:00:00Z,1.4329218777017,24366547967.76,149.34
192,VRSK.OQ,2020-01-31T00:00:00Z,8.79201821438045,26508859303.0799,162.47
193,VRSK.OQ,2020-02-28T00:00:00Z,-5.52442441214249,25294710139.17,155.11
194,VRSK.OQ,2020-03-31T00:00:00Z,-9.96725737861749,22648989638.16,139.38
195,VRSK.OQ,2020-04-30T00:00:00Z,4.05801048427146,24834589513.56,152.83
196,VRSK.OQ,2020-05-29T00:00:00Z,12.9882876403614,28018903287.48,172.68
197,VRSK.OQ,2020-06-30T00:00:00Z,-1.27258610871243,27616500692.1999,170.2
198,VRSK.OQ,2020-07-31T00:00:00Z,10.8754406583389,30643844887.39,188.71
199,VRSK.OQ,2020-08-31T00:00:00Z,-1.08102379418694,30312577633.03,186.67
200,VRSK.OQ,2020-09-30T00:00:00Z,-0.94457671080852,30159471014.19,185.31
201,VRSK.OQ,2020-10-30T00:00:00Z,-3.96093033521204,28936106172.09,177.97
202,VRSK.OQ,2020-11-30T00:00:00Z,11.4288925116547,32243182643.07,198.31
203,VRSK.OQ,2020-12-31T00:00:00Z,4.82465419235187,33752015959.23,207.59
204,VRSK.OQ,2021-01-29T00:00:00Z,-11.6046052303797,29835227749.5,183.5
205,VRSK.OQ,2021-02-26T00:00:00Z,-12.1117845818102,26673400874.55,163.85
206,VRSK.OQ,2021-03-31T00:00:00Z,8.0185070658702,28687026538.88,176.69
207,VRSK.OQ,2021-04-30T00:00:00Z,6.96220517180235,30505564969.1999,188.2
208,VRSK.OQ,2021-05-28T00:00:00Z,-8.16684378320074,28014223132.98,172.83
209,VRSK.OQ,2021-06-30T00:00:00Z,1.26275927184669,28320575512.32,174.72
210,VRSK.OQ,2021-07-30T00:00:00Z,8.71108058364967,30646908081.86,189.94
211,VRSK.OQ,2021-08-31T00:00:00Z,6.22301779619077,32554070625.44,201.76
212,VRSK.OQ,2021-09-30T00:00:00Z,-0.113289683674411,32326596068.9,200.27
213,VRSK.OQ,2021-10-29T00:00:00Z,4.99325910178541,33887402321.25,210.27
214,VRSK.OQ,2021-11-30T00:00:00Z,6.94345365501221,36240358396.25,224.87
215,VRSK.OQ,2021-12-31T00:00:00Z,1.84776530588557,36862441303.75,228.73
216,VRSK.OQ,2022-01-31T00:00:00Z,-14.2526122499846,31608580478.75,196.13
217,VRSK.OQ,2022-02-28T00:00:00Z,-8.25184955118258,28601916934.28,177.34
218,VRSK.OQ,2022-03-31T00:00:00Z,21.2291715660412,34098086952.28,214.63
219,VRSK.OQ,2022-04-29T00:00:00Z,-5.95474028463611,32219901467.6,204.05
220,VRSK.OQ,2022-05-31T00:00:00Z,-14.2759127678385,27620216440.64,174.92
221,VRSK.OQ,2022-06-30T00:00:00Z,-2.92241068215536,27392721092.82,173.09
222,VRSK.OQ,2022-07-29T00:00:00Z,9.91391761522913,29861631438.75,190.25
223,VRSK.OQ,2022-08-31T00:00:00Z,-1.62417871236772,29376625177.8,187.16
224,VRSK.OQ,2022-09-30T00:00:00Z,-9.06874939907845,26746269329.54,170.53
225,VRSK.OQ,2022-10-31T00:00:00Z,7.21280713026158,28592408898.5,182.83
226,VRSK.OQ,2022-11-30T00:00:00Z,1.42999116749829,28730030294.5,183.71
227,VRSK.OQ,2022-12-30T00:00:00Z,-3.80550729232512,27589962138.9999,176.42
228,VRSK.OQ,2023-01-31T00:00:00Z,3.04387257638699,28123119513.44,181.79
229,VRSK.OQ,2023-02-28T00:00:00Z,-5.01804052294669,26470005524.62,171.11
230,VRSK.OQ,2023-03-31T00:00:00Z,12.3374432967783,27733662109.74,191.86
231,VRSK.OQ,2023-04-28T00:00:00Z,1.64956011941972,28105415561.58,194.11
232,VRSK.OQ,2023-05-31T00:00:00Z,12.8792952462385,31725195011.58,219.11
233,VRSK.OQ,2023-06-30T00:00:00Z,3.53955134747177,32772383991.06,226.03
234,VRSK.OQ,2023-07-31T00:00:00Z,1.28743972229097,33202499237.32,228.94
235,VRSK.OQ,2023-08-31T00:00:00Z,5.80064645799703,35128458833.1599,242.22
236,VRSK.OQ,2023-09-29T00:00:00Z,-2.11311343381102,34261196906.72,236.24
237,VRSK.OQ,2023-10-31T00:00:00Z,-3.7588892651541,32964143826.88,227.36
238,VRSK.OQ,2023-11-30T00:00:00Z,7.54599314000628,35004104697.94,241.43
239,VRSK.OQ,2023-12-29T00:00:00Z,-1.064,34630000000.00,238.86
